name,population
Närpiö,9380
Orimattila,16300
Oripää,1434
Orivesi,9571
Oulainen,7847
Oulu,190847
Oulunkaarenseutukunta,21144
Oulunseutukunta,235268
Outokumpu,7343
Padasjoki,3333
Paimio,10591
Paltamo,3743
Parainen,15561
Parikkala,5591
Parkano,6918
Pedersörenkunta,10940
Pelkosenniemi,963
Pello,3819
Perho,2923
Pertunmaa,1857
Petäjävesi,4095
Pieksämäenseutukunta,31481
Pieksämäki,19407
Pielavesi,4926
PielisenKarjalanseutukunta,23128
Pietarsaari,19680
Pihtipudas,4441
PirkanmaanELY-keskus,496568
Pirkanmaanmaakunta,496568
Pirkkala,18128
PohjanmaanELY-keskus,248273
Pohjanmaanmaakunta,179663
Pohjois-jaItä-Suomi,1300222
Pohjois-KarjalanELY-keskus,165754
Pohjois-Karjala,165754
Pohjois-Lapinseutukunta,16851
Pohjois-PohjanmaanELY-keskus,400670
Pohjois-Pohjanmaanmaakunta,400670
Pohjois-Satakunnanseutukunta,21877
Pohjois-SavonELY-keskus,248233
Pohjois-Savonmaakunta,248233
Pohjois-SuomenAVI,481355
Polvijärvi,4728
Pomarkku,2373
Pori,83285
Porinseutukunta,137506
Pornainen,5137
Porvoo,49028
Porvoonseutukunta,58055
Posio,3738
Pudasjärvi,8620
Pukkila,2047
Punkalaidun,3203
Puolanka,2931
Puumala,2374
Pyhtää,5377
Pyhäjoki,3311
Pyhäjärvi,5849
Pyhäntä,1566
Pyhäranta,2199
Päijät-Hämeenmaakunta,202548
Pälkäne,6838
Pöytyä,8569
Raahe,25659
Raahenseutukunta,34567
Raasepori,28829
Raaseporinseutukunta,43634
Raisio,24562
Rantasalmi,3921
Ranua,4227
Rauma,39842
Raumanseutukunta,65551
Rautalampi,3444
Rautavaara,1813
Rautjärvi,3784
Reisjärvi,2961
Riihimäenseutukunta,46417
Riihimäki,29215
Ristijärvi,1450
Rovaniemenseutukunta,65104
Rovaniemi,60877
Ruokolahti,5577
Ruovesi,4868
Rusko,5907
Rääkkylä,2490
Saarijärvi,10258
Saarijärvi-Viitasaarenseutukunta,32121
Salla,3979
Salo,54858
Salonseutukunta,64087
Saltvik,1823
Sastamala,25747
SatakunnanELY-keskus,224934
Satakunnanmaakunta,224934
Sauvo,3033
Savitaipale,3764
Savonlinna,36584
Savonlinnanseutukunta,48623
Savukoski,1127
Seinäjoenseutukunta,125896
Seinäjoki,59556
Sievi,5241
Siikainen,1641
Siikajoki,5597
Siikalatva,5983
Siilinjärvi,21431
Simo,3429
Sipoo,18739
Sisä-Savonseutukunta,14972
Siuntio,6170
Sodankylä,8834
Soini,2329
Somero,9229
Sonkajärvi,4493
Sotkamo,10682
Sottunga,101
Sulkava,2844
Sund,1035
Suomussalmi,8813
Suonenjoki,7496
Suupohjanseutukunta,23738
Sydösterbottensekon.reg.,17817
Sysmä,4178
Säkylä,4631
Taajaanasututkunnat,894166
Taipalsaari,4840
Taivalkoski,4313
Taivassalo,1682
Tammela,6542
Tampere,217421
Tampereenseutukunta,382330
Tarvasjoki,1959
Tervo,1704
Tervola,3339
Teuva,5767
Tohmajärvi,4897
Toholampi,3426
Toivakka,2455
Tornio,22489
Torniolaaksonseutukunta,8375
Tunturi-Lapinseutukunta,14515
Turku,180225
Turunseutukunta,314023
Tuusniemi,2795
Tuusula,37936
Tyrnävä,6613
Ulvila,13470
Urjala,5174
Utajärvi,2950
Utsjoki,1285
UudenmaanELY-keskus,1566835
Uudenmaanmaakunta,1566835
Uurainen,3569
Uusikaarlepyy,7531
Uusikaupunki,15499
Vaala,3250
Vaasa,65674
Vaasanseutukunta,99184
Vakka-Suomenseutukunta,31053
Valkeakoski,21172
Valtimo,2421
Vantaa,205312
Varkaudenseutukunta,32614
Varkaus,22340
Varsinais-SuomenELY-keskus,468936
Varsinais-Suomenmaakunta,468936
Vehmaa,2324
Vesanto,2328
Vesilahti,4437
Veteli,3382
Vieremä,3930
Vihti,28674
